Province,Comfirmed,Death,Recovery
Beijing,269663,2920,242242
Tianjin,75044,1018,69414
Hebei,122644,2028,112015
Shanxi,66578,0,62628
Neimenggu,80055,317,72522
Liaoning,73918,637,66908
Jilin,48129,585,45235
Heilongjiang,294914,4418,270825
Shanghai,294755,2179,268043
Jiangsu,227332,0,215898
Zhejiang,440771,329,416417
Anhui,342035,2033,323551
Fujian,134247,330,123547
Jiangxi,322702,340,307144
Shandong,276474,2297,258692
Henan,442247,7390,414934
Hubei,23087143,1420242,20245969
Hunan,352988,1345,335383
Guangdong,589457,2639,551739
Guangxi,88775,678,82713
Hainan,58746,2015,53924
Chongqing,201754,2034,188724
Sichuan,223612,1019,206211
Guizhou,50461,673,47394
Yunnan,68144,659,62761
Xizang,351,0,337
Shaanxi,123995,942,113530
Gansu,53527,682,50471
Qinghai,6286,0,6044
Ningxia,25753,0,24777
Xinjiang,169995,987,152970